eb -e -- -- -- e3 	stocgno
eb -e -- -- -- f2 	locno
eb -e -- -- -- f3 	stocno
ec -- -- -- -- 44 	brxhg
ec -- -- -- -- 45 	brxlg
ec -- -- -- -- 51 	risblg
ec -- -- -- -- 54 	rnsbg
ec -- -- -- -- 55 	risbg
ec -- -- -- -- 56 	rosbg
ec -- -- -- -- 57 	rxsbg
ec -- -- -- -- 59 	risbgn
ec -- -- -- -- 5d 	risbhg
ec -- -- -- -- 64 	cgrj
ec -- -- -- -- 65 	clgrj
ec -- -- -- -- 76 	crj
ec -- -- -- -- 77 	clrj
ec -- -- -- -- 7c 	cgij
ec -- -- -- -- 7d 	clgij
ec -- -- -- -- 7e 	cij
ec -- -- -- -- 7f 	clij
ec -- -- -- -- fc 	cgib
ec -- -- -- -- fd 	clgib
ec -- -- -- -- fe 	cib
ec -- -- -- -- ff 	clib
ec -2 -- -- -- fc 	cgibh
ec -2 -- -- -- fd 	clgibh
ec -2 -- -- -- fe 	cibh
ec -2 -- -- -- ff 	clibh
ec -4 -- -- -- fc 	cgibl
ec -4 -- -- -- fd 	clgibl
ec -4 -- -- -- fe 	cibl
ec -4 -- -- -- ff 	clibl
ec -6 -- -- -- fc 	cgibne
ec -6 -- -- -- fd 	clgibne
ec -6 -- -- -- fe 	cibne
ec -6 -- -- -- ff 	clibne
ec -8 -- -- -- fc 	cgibe
ec -8 -- -- -- fd 	clgibe
ec -8 -- -- -- fe 	cibe
ec -8 -- -- -- ff 	clibe
ec -a -- -- -- fc 	cgibnl
ec -a -- -- -- fd 	clgibnl
ec -a -- -- -- fe 	cibnl
ec -a -- -- -- ff 	clibnl
ec -c -- -- -- fc 	cgibnh
ec -c -- -- -- fd 	clgibnh
ec -c -- -- -- fe 	cibnh
ec -c -- -- -- ff 	clibnh
ed -- -- -- -- 64 	ley
ed -- -- -- -- 65 	ldy
ed -- -- -- -- 66 	stey
ed -- -- -- -- 67 	stdy
ed -- -- -- -- a8 	czdt
ed -- -- -- -- a9 	czxt
ed -- -- -- -- aa 	cdzt
ed -- -- -- -- ab 	cxzt
ee -- -- -- -- -- 	plo
ef -- -- -- -- -- 	lmd
f0 -- -- -- -- -- 	srp
f1 -- -- -- -- -- 	mvo
f2 -- -- -- -- -- 	pack
f3 -- -- -- -- -- 	unpk
f8 -- -- -- -- -- 	zap
f9 -- -- -- -- -- 	cp
fa -- -- -- -- -- 	ap
fb -- -- -- -- -- 	sp
fc -- -- -- -- -- 	mp
fd -- -- -- -- -- 	dp
